NUTS3;CODE
'BE235';'9688'
'BE329';'7134'
'BE251';'8211'
'BE255';'8433'
'BE251';'8200'
'BE241';'3080'
'BE345';'6762'
'BE335';'4837'
'BE334';'4219'
'BE351';'5564'
'BE32D';'6591'
'BE352';'5024'
'BE223';'3746'
'BE352';'5070'
'BE100';'1200'
'BE341';'6782'
'BE332';'4141'
'BE212';'2222'
'BE234';'9041'
'BE255';'8432'
'BE328';'7522'
'BE328';'7642'
'BE344';'6833'
'BE211';'2530'
'BE242';'3461'
'BE32B';'6240'
'BE32B';'6140'
'BE32C';'7190'
'BE328';'7503'
'BE328';'7530'
'BE242';'3211'
'BE328';'7742'
'BE328';'7730'
'BE211';'2950'
'BE344';'6832'
'BE332';'4140'
'BE352';'5080'
'BE344';'6927'
'BE213';'2480'
'BE343';'6951'
'BE344';'6840'
'BE334';'4287'
'BE241';'1541'
'BE352';'5310'
'BE353';'5660'
'BE233';'9990'
'BE256';'8770'
'BE225';'3900'
'BE352';'5646'
'BE344';'6800'
'BE32A';'7800'
'BE233';'9992'
'BE32A';'7803'
'BE231';'9550'
'BE241';'1880'
'BE32B';'6222'
'BE323';'7380'
'BE32A';'7911'
'BE100';'1083'
'BE335';'4820'
'BE332';'4672'
'BE233';'9968'
'BE336';'4721'
'BE332';'4632'
'BE310';'1474'
'BE213';'2450'
'BE235';'9600'
'BE32A';'7811'
'BE213';'2290'
'BE213';'2270'
'BE211';'2140'
'BE251';'8340'
'BE335';'4801'
'BE211';'2242'
'BE252';'8610'
'BE224';'3580'
'BE329';'7131'
'BE32D';'6542'
'BE224';'3582'
'BE253';'8970'
'BE352';'5380'
'BE255';'8400'
'BE32A';'7823'
'BE100';'1160'
'BE242';'3071'
'BE234';'9052'
'BE236';'9150'
'BE231';'9472'
'BE241';'1703'
'BE342';'6686'
'BE224';'3668'
'BE225';'3941'
'BE342';'6642'
'BE100';'1033'
'BE234';'9075'
'BE100';'1011'
'BE100';'1007'
'BE100';'0612'
'BE328';'7512'
'BE352';'5010'
'BE100';'1212'
'BE100';'1046'
'BE100';'1009'
'BE328';'7510'
'BE100';'1099'
'BE100';'1006'
'BE241';'1804'
'BE100';'1035'
'BE242';'0009'
'BE100';'1048'
'BE100';'1043'
'BE32B';'6075'
'BE328';'7513'
'BE100';'1005'
'BE100';'1012'
'BE100';'1105'
'BE211';'2099'
'BE352';'5012'
'BE32B';'6099'
'BE328';'7511'
'BE241';'1733'
'BE241';'1934'
'BE100';'1110'
'BE234';'9099'
'BE100';'1047'
'BE100';'1008'
'BE241';'1931'
'BE241';'1935'
'BE351';'5589'
'BE323';'7010'
'BE100';'1041'
'BE332';'4099'
'BE100';'1049'
