NUTS3;CODE
'BE224';'3580'
'BE224';'3581'
'BE224';'3582'
'BE224';'3583'
'BE224';'3590'
'BE224';'3600'
'BE224';'3665'
'BE224';'3668'
'BE224';'3690'
'BE224';'3800'
'BE224';'3803'
'BE224';'3806'
'BE224';'3850'
'BE224';'3890'
'BE224';'3891'
'BE224';'3945'
'BE224';'3970'
'BE224';'3971'
'BE224';'3980'
'BE225';'3530'
'BE225';'3640'
'BE225';'3650'
'BE225';'3660'
'BE225';'3670'
'BE225';'3680'
'BE225';'3900'
'BE225';'3910'
'BE225';'3920'
'BE225';'3930'
'BE225';'3940'
'BE225';'3941'
'BE225';'3950'
'BE225';'3960'
'BE225';'3990'
'BE231';'9300'
'BE231';'9308'
'BE231';'9310'
'BE231';'9320'
'BE231';'9340'
'BE231';'9400'
'BE231';'9401'
'BE231';'9402'
'BE231';'9403'
'BE231';'9404'
'BE231';'9406'
'BE231';'9420'
'BE231';'9450'
'BE231';'9451'
'BE231';'9470'
'BE231';'9472'
'BE231';'9473'
'BE231';'9500'
'BE231';'9506'
'BE231';'9520'
'BE231';'9521'
'BE231';'9550'
'BE231';'9551'
'BE231';'9552'
'BE231';'9620'
'BE233';'9060'
'BE233';'9900'
'BE233';'9960'
'BE233';'9961'
'BE233';'9968'
'BE233';'9970'
'BE233';'9971'
'BE233';'9980'
'BE233';'9981'
'BE233';'9982'
'BE233';'9988'
'BE233';'9990'
'BE233';'9991'
'BE233';'9992'
'BE234';'9000'
'BE234';'9030'
'BE234';'9031'
'BE234';'9032'
'BE234';'9040'
'BE234';'9041'
'BE234';'9042'
'BE234';'9050'
'BE234';'9051'
'BE234';'9052'
'BE234';'9070'
'BE234';'9080'
'BE234';'9090'
'BE234';'9180'
'BE234';'9185'
'BE234';'9800'
'BE234';'9810'
'BE234';'9820'
'BE234';'9830'
'BE234';'9831'
'BE234';'9840'
'BE234';'9850'
'BE234';'9860'
'BE234';'9870'
'BE234';'9880'
'BE234';'9881'
'BE234';'9890'
'BE234';'9910'
'BE234';'9920'
'BE234';'9921'
'BE234';'9930'
'BE234';'9931'
'BE234';'9932'
'BE234';'9940'
'BE234';'9950'
'BE235';'9570'
'BE235';'9571'
'BE235';'9572'
'BE235';'9600'
'BE235';'9630'
'BE235';'9636'
'BE235';'9660'
'BE235';'9661'
'BE235';'9667'
'BE235';'9680'
'BE235';'9681'
'BE235';'9688'
'BE235';'9690'
'BE235';'9700'
'BE235';'9750'
'BE235';'9770'
'BE235';'9771'
'BE235';'9772'
'BE235';'9790'
'BE236';'9100'
'BE236';'9111'
'BE236';'9112'
'BE236';'9120'
'BE236';'9130'
'BE236';'9140'
'BE236';'9150'
'BE236';'9160'
'BE236';'9170'
'BE236';'9190'
'BE241';'1500'
'BE241';'1501'
'BE241';'1502'
'BE241';'1540'
'BE241';'1541'
'BE241';'1547'
'BE241';'1560'
'BE241';'1570'
'BE241';'1600'
'BE241';'1601'
'BE241';'1602'
'BE241';'1620'
'BE241';'1630'
'BE241';'1640'
'BE241';'1650'
'BE241';'1651'
'BE241';'1652'
'BE241';'1653'
'BE241';'1654'
'BE241';'1670'
'BE241';'1671'
'BE241';'1673'
'BE241';'1674'
'BE241';'1700'
'BE241';'1701'
'BE241';'1702'
'BE241';'1703'
'BE241';'1730'
'BE241';'1731'
'BE241';'1740'
'BE241';'1741'
'BE241';'1742'
'BE241';'1745'
'BE241';'1750'
'BE241';'1755'
'BE241';'1760'
'BE241';'1761'
'BE241';'1770'
'BE241';'1780'
'BE241';'1785'
'BE241';'1790'
'BE241';'1800'
'BE241';'1820'
'BE241';'1830'
'BE241';'1831'
'BE241';'1840'
'BE241';'1850'
'BE241';'1851'
'BE241';'1852'
'BE241';'1853'
'BE241';'1860'
'BE241';'1861'
'BE241';'1880'
'BE241';'1910'
'BE241';'1930'
'BE241';'1932'
'BE241';'1933'
'BE241';'1950'
'BE241';'1970'
'BE241';'1980'
'BE241';'1981'
'BE241';'1982'
'BE241';'3090'
'BE251';'8000'
'BE251';'8020'
'BE251';'8200'
'BE251';'8210'
'BE251';'8211'
'BE251';'8300'
'BE251';'8301'
'BE251';'8310'
'BE251';'8340'
'BE251';'8370'
'BE251';'8377'
'BE251';'8380'
'BE251';'8490'
'BE251';'8730'
'BE251';'8820'
'BE252';'8600'
'BE252';'8610'
